"SEO 2008 Code","SEO 2008 Name"
"890402","Film and Video Services (excl. Animation and Computer Generated Imagery)"
"890403","Internet Broadcasting"
"890404","Publishing and Print Services (incl. Internet Publishing)"
"890405","Radio and Television Broadcasting"
"890499","Media Services not elsewhere classified"
"899801","Management of Greenhouse Gas Emissions from Information and Communication Services"
"899802","Management of Solid Waste from Information and Communication Services"
"899803","Management of Water Consumption by Information and Communication Services"
"899899","Environmentally Sustainable Information and Communication Services not elsewhere classified"
"899999","Information and Communication Services not elsewhere classified"
"900101","Finance Services"
"900102","Investment Services (excl. Superannuation)"
"900103","Superannuation and Insurance Services"
"900199","Financial Services not elsewhere classified"
"900201","Administration and Business Support Services"
"900202","Professional, Scientific and Technical Services"
"900203","Property Services (incl. Security)"
"900204","Wholesale and Retail Trade"
"900299","Property, Business Support Services and Trade not elsewhere classified"
"900301","Economic Issues in Tourism"
"900302","Socio-Cultural Issues in Tourism"
"900303","Tourism Infrastructure Development"
"900399","Tourism not elsewhere classified"
"900401","Waste Management Services"
"900402","Waste Recycling Services"
"900403","Water Recycling Services (incl. Sewage and Greywater)"
"900404","Water Services and Utilities"
"900499","Water and Waste Services not elsewhere classified"
"909801","Management of Gaseous Waste from Commercial Services and Tourism (excl. Greenhouse Gases)"
"909802","Management of Greenhouse Gas Emissions from Commercial Services and Tourism"
"909803","Management of Liquid Waste from Commercial Services and Tourism (excl. Water)"
"909804","Management of Solid Waste from Commercial Services and Tourism"
"909805","Management of Water Consumption by Commercial Services and Tourism"
"909899","Environmentally Sustainable Commercial Services and Tourism not elsewhere classified"
"909901","Hospitality Services"
"909902","Recreational Services"
"909999","Commercial Services and Tourism not elsewhere classified"
"910101","Balance of Payments"
"910102","Demography"
"910103","Economic Growth"
"910104","Exchange Rates"
"910105","Fiscal Policy"
"910106","Income Distribution"
"910107","Macro Labour Market Issues"
"910108","Monetary Policy"
"910109","Savings and Investments"
"910110","Taxation"
"910199","Macroeconomics not elsewhere classified"
"910201","Consumption"
"910202","Human Capital Issues"
"910203","Industrial Organisations"
"910204","Industry Costs and Structure"
"910205","Industry Policy"
"910206","Market-Based Mechanisms"
"910207","Microeconomic Effects of Taxation"
"910208","Micro Labour Market Issues"
"910209","Preference, Behaviour and Welfare"
"910210","Production"
"910211","Supply and Demand"
"910299","Microeconomics not elsewhere classified"
"910301","International Agreements on Trade"
"910302","Trade Assistance and Protection"
"910303","Trade Policy"
"910399","International Trade not elsewhere classified"
"910401","Industrial Relations"
"910402","Management"
"910403","Marketing"
"910404","Productivity (excl. Public Sector)"
"910405","Public Sector Productivity"
"910406","Technological and Organisational Innovation"
"910499","Management and Productivity not elsewhere classified"
"910501","Agricultural and Environmental Standards"
"910502","Defence Standards and Calibrations"
"910503","Manufacturing Standards and Calibrations"
"910504","Service Industries Standards and Calibrations"
"910599","Measurement Standards and Calibration Services not elsewhere classified"
"919901","Carbon and Emissions Trading"
"919902","Ecological Economics"
"919999","Economic Framework not elsewhere classified"
"920101","Blood Disorders"
"920102","Cancer and Related Disorders"
"920103","Cardiovascular System and Diseases"
"920104","Diabetes"
"920105","Digestive System Disorders"
"920106","Endocrine Organs and Diseases (excl. Diabetes)"
"920107","Hearing, Vision, Speech and Their Disorders"
"920108","Immune System and Allergy"
"920109","Infectious Diseases"
"920110","Inherited Diseases (incl. Gene Therapy)"
"920111","Nervous System and Disorders"
"920112","Neurodegenerative Disorders Related to Ageing"
"920113","Oro-Dental Disorders"
"920114","Reproductive System and Disorders"
"920115","Respiratory System and Diseases (incl. Asthma)"
"920116","Skeletal System and Disorders (incl. Arthritis)"
"920117","Skin and Related Disorders"
"920118","Surgical Methods and Procedures"
"920119","Urogenital System and Disorders"
"920120","Zoonoses"
"920199","Clinical Health (Organs, Diseases and Abnormal Conditions) not elsewhere classified"
"920201","Allied Health Therapies (excl. Mental Health Services)"
"920202","Carer Health"
"920203","Diagnostic Methods"
"920204","Evaluation of Health Outcomes"
"920205","Health Education and Promotion"
"920206","Health Inequalities"
"920207","Health Policy Economic Outcomes"
920208,"Health Policy Evaluation"
"920209","Mental Health Services"
"920210","Nursing"
"920211","Palliative Care"
