Date: 01-10-09

Time: 13:10:54



Exp. Conditions:

Cyclic voltammetry

Start potential (V) = .0000

First vertex potential (V) = 1.5000

Second vertex potential (V) = -.2979

Step potential (V) = .00244

Scan rate (V/s) = .15001

Equilibration time (s) = 1

Number of Data Points =  1474 



 Potential	  Scan 1   	  Scan 2   	  Scan 3   	  Scan 4   	  Scan 5   	  Scan 6   	  Scan 7   	  Scan 8   	  Scan 9   	  Scan 10   	  Scan 11   	  Scan 12   	  Scan 13   	  Scan 14   	  Scan 15   	  Scan 16   	  Scan 17   	  Scan 18   	  Scan 19   	  Scan 20   	

 0.085449	-2.626953E-06	-2.076721E-06	-1.872559E-06	-1.699524E-06	-1.621704E-06	-1.536560E-06	-1.497803E-06	-1.369019E-06	-1.258850E-06	-1.220093E-06	-1.194153E-06	-1.142883E-06	-1.138611E-06	-1.099243E-06	-1.100464E-06	-1.047974E-06	-1.023560E-06	-1.006165E-06	-9.881592E-07	-9.707642E-07

 0.087891	-2.604370E-06	-2.064209E-06	-1.861572E-06	-1.685181E-06	-1.608276E-06	-1.522827E-06	-1.487427E-06	-1.359253E-06	-1.248474E-06	-1.214905E-06	-1.185608E-06	-1.133423E-06	-1.131897E-06	-1.088257E-06	-1.090088E-06	-1.041260E-06	-1.015625E-06	-9.960938E-07	-9.826660E-07	-9.683228E-07

 0.090332	-2.585144E-06	-2.046509E-06	-1.843262E-06	-1.671448E-06	-1.598816E-06	-1.514282E-06	-1.473694E-06	-1.345215E-06	-1.238098E-06	-1.205444E-06	-1.172485E-06	-1.126709E-06	-1.119385E-06	-1.083679E-06	-1.079407E-06	-1.026611E-06	-1.010742E-06	-9.844971E-07	-9.713745E-07	-9.539795E-07

 0.092773	-2.562561E-06	-2.032471E-06	-1.830444E-06	-1.660156E-06	-1.587219E-06	-1.504211E-06	-1.468201E-06	-1.339417E-06	-1.224976E-06	-1.195068E-06	-1.162720E-06	-1.119385E-06	-1.106873E-06	-1.076355E-06	-1.070557E-06	-1.023865E-06	-1.003113E-06	-9.786987E-07	-9.603882E-07	-9.454346E-07

 0.095215	-2.548523E-06	-2.017517E-06	-1.817932E-06	-1.653137E-06	-1.580505E-06	-1.495667E-06	-1.459045E-06	-1.329956E-06	-1.214600E-06	-1.181641E-06	-1.152649E-06	-1.108398E-06	-1.098328E-06	-1.065063E-06	-1.062927E-06	-1.016541E-06	-9.924316E-07	-9.701538E-07	-9.487915E-07	-9.326172E-07

 0.097656	-2.530518E-06	-2.009277E-06	-1.809082E-06	-1.641846E-06	-1.565552E-06	-1.479187E-06	-1.446533E-06	-1.321411E-06	-1.206970E-06	-1.171875E-06	-1.146545E-06	-1.095581E-06	-1.091309E-06	-1.052246E-06	-1.058044E-06	-1.010132E-06	-9.802246E-07	-9.643555E-07	-9.423828E-07	-9.283447E-07

 0.100098	-2.511292E-06	-1.995544E-06	-1.796570E-06	-1.628113E-06	-1.550293E-06	-1.468506E-06	-1.430969E-06	-1.309509E-06	-1.198425E-06	-1.165771E-06	-1.138611E-06	-1.086121E-06	-1.087036E-06	-1.042175E-06	-1.044006E-06	-9.982300E-07	-9.725952E-07	-9.503174E-07	-9.375000E-07	-9.197998E-07

 0.102539	-2.489624E-06	-1.982422E-06	-1.782837E-06	-1.612549E-06	-1.539307E-06	-1.454468E-06	-1.419373E-06	-1.296692E-06	-1.189880E-06	-1.158142E-06	-1.130066E-06	-1.079102E-06	-1.072083E-06	-1.039429E-06	-1.035461E-06	-9.863281E-07	-9.631348E-07	-9.420776E-07	-9.286499E-07	-9.146118E-07

